ticker,asset,area,detail,asset_allocation,area_allocation,expense_ratio,yield,commission,tax
AGG,Bond,US,US,0.3,0.5,0.0004,0.0619,0.0045,0.20315
BND,Bond,US,US,0.3,0.5,0.0004,0.0638,0.0045,0.20315
BNDX,Bond,World,Ex:US,0.3,0.5,0.0008,0.0401,0.0045,0.20315
EBND,Bond,Emerging,Emerging,0.3,0.3,0.003,0.0442,0.0045,0.20315
IJR,Stock,US,US,0.7,0.5,0.0006,0.2009,0.0045,0.20315
IVV,Stock,US,US,0.7,0.5,0.0003,0.1965,0.0045,0.20315
SHY,Bond,US,US,0.3,0.5,0.0015,0.0291,0.0045,0.20315
SPY,Stock,US,US,0.7,0.5,0.0009,0.197,0.0045,0.20315
TLT,Bond,US,US,0.3,0.5,0.0015,0.1193,0.0045,0.20315
VEA,Stock,World,Ex:US,0.7,0.5,0.0005,0.1342,0.0045,0.20315
VGK,Stock,Europe,Europe,0.7,0.3,0.0008,0.0999,0.0045,0.20315
VOO,Stock,US,US,0.7,0.5,0.0003,0.1964,0.0045,0.20315
VTI,Stock,US,US,0.7,0.5,0.0003,0.2294,0.0045,0.20315
VWO,Stock,Emerging,Emerging,0.7,0.3,0.001,0.1781,0.0045,0.20315
VWOB,Bond,Emerging,Emerging,0.3,0.3,0.0025,0.0463,0.0045,0.20315
VYM,Stock,US,US,0.7,0.5,0.0006,0.0481,0.0045,0.20315
